Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

U22        SSO-G28/E4.3       5725mil       5700mil       5725mil       5700mil   5591.142mil   5866.338mil  T        270.00 DS92LV1224
U23        QFP10x10-G44/G10N       4940mil       6850mil       4940mil       6850mil    5097.48mil   7084.252mil  T        270.00 Xilinx CoolRunner-II XC2C64A
U6.A1      TSSO5x6-G16       6300mil       6950mil       6300mil       6950mil   6409.252mil   6860.433mil  T         90.00 DAC8554   
U6.A2      TSSO5x6-G16       6300mil       5300mil       6300mil       5300mil   6409.252mil   5210.433mil  T         90.00 DAC8554   
U9.A1      TSSO5x6-G16       6300mil       5575mil       6300mil       5575mil   6409.252mil   5485.433mil  T         90.00 DAC8554   
U9.A2      TSSO5x6-G16       6300mil       3975mil       6300mil       3975mil   6409.252mil   3885.433mil  T         90.00 DAC8554   
C20        3216             4890mil       4300mil       4890mil       4300mil   4834.882mil       4300mil  T        360.00 POLCAP    
C22        3216             4950mil       4980mil       4950mil       4980mil   5005.118mil       4980mil  T        180.00 POLCAP    
C25        3216             5270mil       6500mil       5270mil       6500mil   5214.882mil       6500mil  T        360.00 POLCAP    
C26        3216             4880mil       5910mil       4880mil       5910mil   4824.882mil       5910mil  T        360.00 POLCAP    
C29        3216             4890mil       3510mil       4890mil       3510mil   4834.882mil       3510mil  T        360.00 POLCAP    
C30        3216             4930mil       4180mil       4930mil       4180mil   4985.118mil       4180mil  T        180.00 POLCAP    
C33        3216             4950mil       5790mil       4950mil       5790mil   5005.118mil       5790mil  T        180.00 POLCAP    
C34        3216             4890mil       5090mil       4890mil       5090mil   4834.882mil       5090mil  T        360.00 POLCAP    
U5.A2      LTCDHC-16    6343.169mil   5021.102mil   6343.169mil       5020mil   6274.271mil       4965mil  T        360.00 LTC6242   
U5.A1      LTCDHC-16    6343.169mil   6621.102mil   6343.169mil       6620mil   6274.271mil       6565mil  T        360.00 LTC6242   
U8.A1      LTCDHC-16        6330mil   5886.102mil       6330mil       5885mil   6261.102mil       5830mil  T        360.00 LTC6242   
U8.A2      LTCDHC-16        6331mil   4283.102mil       6331mil       4282mil   6262.102mil       4227mil  T        360.00 LTC6242   
FID1       FIDUCIAL         3580mil       6860mil       3580mil       6860mil       3580mil       6860mil  T         90.00 FIDUCIAL  
FID2       FIDUCIAL         7100mil       7100mil       7100mil       7100mil       7100mil       7100mil  T         90.00 FIDUCIAL  
FID3       FIDUCIAL         4400mil       3500mil       4400mil       3500mil       4400mil       3500mil  T         90.00 FIDUCIAL  
FID7       FIDUCIAL         5680mil       4600mil       5680mil       4600mil       5680mil       4600mil  T         90.00 FIDUCIAL  
S1         SCREW6-32        2800mil       7250mil       2800mil       7250mil       2800mil       7250mil  T          0.00 6-32 Mounting Screw
S2         SCREW6-32        7500mil       7250mil       7500mil       7250mil       7500mil       7250mil  T          0.00 6-32 Mounting Screw
